"","time","trap.id","nmales","ntrees"
"863",84,85,320,230
"864",84,100,326,220
"865",122,2,1053,32
"866",245,28,43468,813
"867",77,16,188,14
"868",144,62,3782,148
"869",74,92,137,10
"870",104,88,326,17
"871",112,46,575,71
"872",86,65,287,15
"873",98,53,296,16
"874",84,2,277,16
"875",154,92,4489,209
"876",184,58,16248,422
"877",89,91,427,258
"878",43,96,2,6
"879",255,55,45918,775
"880",183,43,13299,368
"881",202,42,39730,558
"882",124,23,1483,32
"883",200,48,29427,557
"884",96,10,345,66
"885",162,68,6877,215
"886",100,69,287,15
"887",93,40,268,38
"888",179,55,10923,271
"889",57,65,17,6
"890",107,13,318,32
"891",230,48,38581,630
"892",137,46,1733,110
"893",81,87,233,19
"894",198,55,8387,200
"895",124,5,1032,29
"896",103,66,339,54
"897",146,62,5503,201
"898",207,13,17038,281
"899",235,27,40464,726
"900",216,2,32372,527
"901",225,48,32807,542
"902",98,65,273,11
"903",129,24,1871,113
"904",122,5,1363,32
"905",84,69,291,19
"906",134,16,1927,100
"907",152,68,2129,38
"908",78,96,255,185
"909",210,16,29750,504
"910",180,9,12041,306
"911",73,41,114,24
"912",113,16,737,37
"913",166,2,5574,198
"914",113,68,492,30
"915",90,85,421,244
"916",213,43,13807,327
"917",93,68,285,17
"918",121,13,843,33
"919",173,84,15821,354
"920",134,28,1107,53
"921",127,91,1380,114
"922",91,8,302,15
"923",118,68,723,36
"924",81,85,274,202
"925",290,25,50272,979
"926",191,22,5713,182
"927",185,28,6541,357
"928",82,68,276,13
"929",91,65,288,21
"930",222,27,30314,491
"931",202,28,12355,367
"932",255,9,36423,760
"933",204,58,15329,296
"934",145,84,4020,142
"935",113,65,694,31
"936",180,58,8542,276
"937",214,23,14506,333
"938",239,2,46253,805
"939",93,78,302,20
"940",92,80,404,234
"941",121,16,959,25
"942",83,59,266,19
"943",182,28,6152,346
"944",81,71,253,17
"945",186,55,16508,367
"946",171,92,15307,305
"947",195,55,18827,419
"948",87,96,260,37
"949",85,4,373,229
"950",194,48,13555,368
"951",226,24,26912,607
"952",105,36,322,51
"953",100,16,309,13
"954",79,22,238,9
"955",64,53,13,6
"956",121,87,1035,36
"957",145,60,6019,184
"958",82,50,274,15
"959",51,58,22,4
"960",127,59,1531,32
"961",80,16,242,17
"962",137,73,1075,36
"963",116,16,541,26
"964",86,64,264,44
"965",114,57,912,77
"966",207,13,22903,418
"967",121,89,1326,29
"968",106,59,296,15
"969",61,53,7,8
"970",81,68,248,13
"971",141,51,3623,159
"972",116,20,1093,33
"973",138,2,2322,43
"974",79,88,223,12
"975",226,28,25146,436
"976",106,25,290,20
"977",88,2,269,16
"978",123,58,1265,38
"979",252,69,34546,729
"980",175,13,5105,283
"981",314,40,13801,321
"982",223,20,48884,761
"983",196,24,14625,329
"984",359,69,67810,1058
"985",113,24,643,45
"986",121,47,1441,107
"987",112,69,539,26
"988",78,65,201,21
